activesupport, 4.1.4, MIT
addressable, 2.3.6, Apache 2.0
bundler, 1.6.2, MIT
celluloid, 0.15.2, MIT
chunky_png, 1.3.1, MIT
coffee-script, 2.3.0, MIT
coffee-script-source, 1.7.1, MIT
compass, 0.12.7, MIT
compass-import-once, 1.0.4, MIT
em-websocket, 0.5.1, MIT
erubis, 2.7.0, MIT
eventmachine, 1.0.3, ruby
execjs, 2.2.1, MIT
fedux_org-stdlib, 0.6.28, MIT
ffi, 1.9.3, BSD
fssm, 0.2.10, MIT
haml, 4.0.5, MIT
hike, 1.2.3, MIT
hooks, 0.4.0, MIT
http_parser.rb, 0.6.0, MIT
i18n, 0.6.11, MIT
json, 1.8.1, ruby
kramdown, 1.4.0, MIT
launchy, 2.4.2, ISC
listen, 2.7.9, MIT
middleman, 3.3.3, MIT
middleman-core, 3.3.3, MIT
middleman-livereload, 3.3.4, MIT
middleman-presentation, 0.11.5, MIT
middleman-sprockets, 3.3.4, MIT
minitest, 5.4.0, MIT
multi_json, 1.10.1, MIT
padrino-helpers, 0.12.2, MIT
padrino-support, 0.12.2, MIT
rack, 1.5.2, MIT
rack-livereload, 0.3.15, MIT
rack-test, 0.6.2, MIT
rake, 10.3.2, MIT
rb-fsevent, 0.9.4, MIT
rb-inotify, 0.9.5, MIT
sass, 3.2.19, MIT
sprockets, 2.12.1, MIT
sprockets-helpers, 1.1.0, MIT
sprockets-sass, 1.2.0, MIT
thor, 0.19.1, MIT
thread_safe, 0.3.4, Apache 2.0
tilt, 1.4.1, MIT
timers, 1.1.0, MIT
tzinfo, 1.2.1, MIT
uber, 0.0.7, MIT
uglifier, 2.5.3, MIT
